year,destination,gap_denominator_A_minus_B,raw_n,raw_probability,raw_CI_lo,raw_CI_hi,std_probability,std_CI_lo,std_CI_hi,std_variance,effective_weight_sum
2000,OTHER,1243,211,0.16975060337892195,0.14990543292464614,0.19163073898246197,0.16907355215602526,0.14740562838333998,0.19074147592871055,0.00012221442123565716,1.0
2000,OTHER_GALLBLADDER_BILIARY,1243,25,0.02011263073209976,0.013659826621473317,0.029522454846468284,0.019268213859873262,0.011627887191773306,0.02690854052797322,1.5195385150791183e-05,1.0
2000,RESPIRATORY,1243,96,0.07723250201126307,0.06365992274888295,0.09341013410175124,0.0728550047769062,0.05800014562152511,0.08770986393228727,5.744138914155795e-05,1.0
2001,CIRCULATORY,1251,504,0.4028776978417266,0.3760357603841689,0.43031427826663193,0.3953196156844001,0.36765493231597646,0.42298429905282375,0.00019922290344521467,1.0
2001,DIABETES_NUTRITIONAL,1251,44,0.035171862509992005,0.026303595194966816,0.04688609596092402,0.03684260176371927,0.025799922794049267,0.047885280733389275,3.1742180036232865e-05,1.0
2001,DIGESTIVE_OTHER,1251,56,0.04476418864908074,0.03463197127845443,0.057683641985999276,0.05420455496649295,0.040274565461805,0.06813454447118089,5.0511403477904094e-05,1.0
2001,EXTERNAL,1251,18,0.014388489208633094,0.009120553709935333,0.022629639544069293,0.014875774994099844,0.007457955784623757,0.02229359420357593,1.4323209554475333e-05,1.0
2001,INFECTIOUS_PARASITIC,1251,53,0.042366107114308556,0.032534801580069286,0.0549993311572437,0.04446430713446581,0.0321684833031941,0.05676013096573752,3.9355290423175036e-05,1.0
2001,NEOPLASMS,1251,186,0.1486810551558753,0.13004254586166197,0.16947055691222282,0.14685412337574574,0.1270659681116895,0.166642278639802,0.00010192916721011997,1.0
2001,OTHER,1251,252,0.2014388489208633,0.18014289551564128,0.2245627788553393,0.1982971558766411,0.1753666193793821,0.22122769237390008,0.00013687252812685495,1.0
2001,OTHER_GALLBLADDER_BILIARY,1251,26,0.020783373301358914,0.014222066631252158,0.03027874136179438,0.02205008291721492,0.013247198756837532,0.03085296707759231,2.017148311667616e-05,1.0
2001,RESPIRATORY,1251,112,0.08952837729816147,0.0749383273839132,0.1066315890538339,0.08709178328722025,0.07114252272184574,0.10304104385259477,6.621691810240797e-05,1.0
2002,CIRCULATORY,1189,501,0.4213624894869638,0.39359331239489065,0.4496381593005365,0.41276142918154324,0.38444041518665645,0.44108244317643003,0.00020878796170829166,1.0
2002,DIABETES_NUTRITIONAL,1189,39,0.03280067283431455,0.024086099076406898,0.04452440923171891,0.03491605988221608,0.023719584209913325,0.04611253555451883,3.263251444202087e-05,1.0
2002,DIGESTIVE_OTHER,1189,52,0.04373423044575273,0.03350564010369687,0.056901561979396297,0.05069143953400999,0.037118283288254866,0.06426459577976511,4.795672908987954e-05,1.0
2002,EXTERNAL,1189,22,0.018502943650126155,0.012250411528718095,0.02785672799675808,0.017483857877782182,0.009947870093295381,0.02501984566226898,1.4783192390653448e-05,1.0
2002,INFECTIOUS_PARASITIC,1189,58,0.04878048780487805,0.03792335004858978,0.06254386454602678,0.04952032304502929,0.03679343568531321,0.06224721040474537,4.2163073164020445e-05,1.0
2002,NEOPLASMS,1189,159,0.13372582001682085,0.11555451345161764,0.15425624508697602,0.13982882524498627,0.11905789051584977,0.1605997599741228,0.00011230521905509395,1.0
2002,OTHER,1189,244,0.20521446593776282,0.18322567415827481,0.229101928293567,0.2017671432483654,0.17795868719729147,0.22557559929943932,0.00014755377434816697,1.0
2002,OTHER_GALLBLADDER_BILIARY,1189,18,0.015138772077375946,0.009597176385552865,0.023803288132241057,0.01267493415269711,0.006467877168340473,0.018881991137053748,1.0029039048066045e-05,1.0
