analysis,year,stratum,A_records,B_records,UCF,CI_lo,CI_hi,note
k80_code_count,2006,3+,3,3,1.0,0.4385029682449545,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2006,K80.2,1307,572,0.43764345830145374,0.4109697118503141,0.46468268005172125,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.1,247,166,0.6720647773279352,0.6112737587666119,0.7275856961242141,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.5,228,127,0.5570175438596491,0.4921247018023738,0.6200209003356301,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.3,60,52,0.8666666666666667,0.7583484032350039,0.9308589051941303,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.0,109,93,0.8532110091743119,0.7747924198076281,0.9075808923129954,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.4,36,30,0.8333333333333334,0.6810920568872053,0.921295524049819,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2006,K80.8,2,2,1.0,0.3423802275066531,1.0,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2007,1,1822,982,0.5389681668496158,0.5160214350560565,0.5617509253611055,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2007,2,47,37,0.7872340425531915,0.6509597329080159,0.88010292001905,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2007,3+,1,1,1.0,0.20654931437723742,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2007,K80.1,212,134,0.6320754716981132,0.5653473333251007,0.6941023586199526,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.0,117,92,0.7863247863247863,0.7035748148826341,0.850870659823322,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.2,1259,597,0.47418586179507544,0.44672426355354045,0.5018045089649826,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.5,231,148,0.6406926406926406,0.5769833945459376,0.6997990795811232,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.4,37,32,0.8648648648648649,0.7202258821599022,0.9408670557426799,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2007,K80.3,63,56,0.8888888888888888,0.7879534424991746,0.9451245133761628,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2008,1,1985,1098,0.5531486146095718,0.531195765083782,0.5748961504201893,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2008,2,43,32,0.7441860465116279,0.5976159650115332,0.8507048287619176,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2008,3+,6,6,1.0,0.6096657120978346,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2008,K80.2,1303,641,0.49194167306216424,0.4648602988960317,0.5190704221120465,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.0,188,151,0.8031914893617021,0.7405326055296216,0.853708079986385,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.1,232,146,0.6293103448275862,0.5655262713349858,0.6888819243233394,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.4,57,42,0.7368421052631579,0.6102342073651618,0.8335421340202691,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.5,242,146,0.6033057851239669,0.5405173314834795,0.6628657766377093,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2008,K80.3,67,54,0.8059701492537313,0.6958088777455581,0.8829482608358841,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2009,1,1776,949,0.5343468468468469,0.5110986327865342,0.5574467982659799,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2009,2,46,37,0.8043478260869565,0.668287410770154,0.8934938986560146,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2009,3+,2,2,1.0,0.3423802275066531,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2009,K80.0,172,125,0.7267441860465116,0.6557384467913617,0.7878429504690917,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.2,1181,564,0.4775613886536833,0.4491926954619518,0.5060755814830898,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.5,216,130,0.6018518518518519,0.5353392784359875,0.6648049538486384,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.1,201,121,0.6019900497512438,0.5330183305571738,0.6671364634774114,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.3,65,54,0.8307692307692308,0.7218357836377647,0.9027878187178839,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.4,38,34,0.8947368421052632,0.7586947827711269,0.9582974265244647,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2009,K80.8,1,1,1.0,0.20654931437723742,1.0,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2010,1,1736,957,0.5512672811059908,0.5277832999253307,0.5745248725219753,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2010,2,41,34,0.8292682926829268,0.6873738759959582,0.9147474802240498,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2010,3+,3,3,1.0,0.4385029682449545,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2010,K80.2,1097,513,0.4676390154968095,0.4382773787162343,0.4972265038536859,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2010,K80.5,237,148,0.6244725738396625,0.5612960563090267,0.6836783774487648,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2010,K80.1,186,130,0.6989247311827957,0.6295217132427784,0.7602772298315753,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2010,K80.0,191,140,0.7329842931937173,0.6661024004275556,0.7906792339262685,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2010,K80.4,38,33,0.868421052631579,0.7267314055770868,0.9424613230987987,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2010,K80.3,75,68,0.9066666666666666,0.819653131504585,0.9540514766093996,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2010,K80.8,3,2,0.6666666666666666,0.20765960080204768,0.9385080552796037,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2011,1,1764,970,0.5498866213151927,0.5265867260004188,0.5729697127977795,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2011,2,40,30,0.75,0.5980603857923198,0.8581288136090369,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2011,3+,4,4,1.0,0.5101091635454027,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2011,K80.2,1169,560,0.47904191616766467,0.4505203187438389,0.5077008034449435,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2011,K80.5,220,119,0.5409090909090909,0.4749218757421064,0.6054921820237461,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2011,K80.0,173,131,0.7572254335260116,0.688198090611941,0.8150775586250417,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2011,K80.3,76,70,0.9210526315789473,0.8382725651786194,0.9633159947665283,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2011,K80.1,165,125,0.7575757575757576,0.6868090959966429,0.8166217591600169,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2011,K80.4,51,37,0.7254901960784313,0.5905334923922092,0.8288572476535512,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2011,K80.8,3,1,0.3333333333333333,0.061491944720396215,0.7923403991979523,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2012,1,1698,987,0.5812720848056537,0.5576486384786393,0.6045286304846262,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2012,2,47,37,0.7872340425531915,0.6509597329080159,0.88010292001905,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2012,3+,1,1,1.0,0.20654931437723742,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2012,K80.2,1075,551,0.5125581395348837,0.482686892534944,0.5423399543471867,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2012,K80.5,237,153,0.6455696202531646,0.5827916788955713,0.7037038453296425,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2012,K80.0,160,123,0.76875,0.6975811590318565,0.8273165110634596,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2012,K80.3,84,74,0.8809523809523809,0.794550842255297,0.9340345075240096,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2012,K80.1,183,125,0.6830601092896175,0.6124744114085297,0.7461183785583791,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2012,K80.4,53,37,0.6981132075471698,0.5646316733114987,0.8048169727242108,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2012,K80.8,3,1,0.3333333333333333,0.061491944720396215,0.7923403991979523,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2013,1,1650,906,0.5490909090909091,0.5249955852482026,0.5729581812001954,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2013,2,47,38,0.8085106382978723,0.6745599542033822,0.8958406730145774,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2013,3+,4,4,1.0,0.5101091635454027,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2013,K80.0,145,114,0.7862068965517242,0.7125427455329684,0.8450975830262148,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2013,K80.2,1030,472,0.458252427184466,0.4280352508565019,0.48877984756477794,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2013,K80.1,195,126,0.6461538461538462,0.576808865837986,0.7098516743635419,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2013,K80.3,93,83,0.8924731182795699,0.8132724499022683,0.9405369297680901,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2013,K80.5,255,168,0.6588235294117647,0.5986612728112062,0.7142715949335654,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2013,K80.4,35,29,0.8285714285714286,0.6731771770095504,0.9189735994629842,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2013,K80.8,3,2,0.6666666666666666,0.20765960080204768,0.9385080552796037,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2014,1,1646,954,0.5795868772782503,0.5555818005314745,0.6032213369453091,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2014,2,46,40,0.8695652173913043,0.74334142220927,0.9388215963796489,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2014,K80.2,1011,500,0.49455984174085066,0.463819934683868,0.5253409338395931,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2014,K80.0,173,136,0.7861271676300579,0.7191591099547308,0.8406643650392165,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2014,K80.5,255,158,0.6196078431372549,0.5586628346647657,0.6770026583282104,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2014,K80.1,155,118,0.7612903225806451,0.6883764115292811,0.8215660216451439,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2014,K80.4,53,42,0.7924528301886793,0.6654225529835208,0.8799540197358604,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2014,K80.3,88,77,0.875,0.7898824415232533,0.9287472584780775,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2014,K80.8,3,3,1.0,0.4385029682449545,1.0,multilabel subtype rows are non-mutually-exclusive; do not sum
k80_code_count,2015,1,1720,1044,0.6069767441860465,0.5836805580471625,0.6297961501019469,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2015,2,50,33,0.66,0.5215382605023261,0.7756305077749992,mutually exclusive count of distinct valid K80 four-character codes
k80_code_count,2015,3+,2,2,1.0,0.3423802275066531,1.0,mutually exclusive count of distinct valid K80 four-character codes
multi_label_sensitivity,2015,K80.2,1006,534,0.5308151093439364,0.49991791111919914,0.5614778648795447,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2015,K80.3,102,91,0.8921568627450981,0.8171406779024611,0.9387068027669795,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2015,K80.5,289,176,0.6089965397923875,0.5516590404755688,0.6634744322700874,multilabel subtype rows are non-mutually-exclusive; do not sum
multi_label_sensitivity,2015,K80.0,205,157,0.7658536585365854,0.7033233821771928,0.8186036366030417,multilabel subtype rows are non-mutually-exclusive; do not sum
