disease,scheme,year,std_UCF,CI_lo,CI_hi,variance,effective_weight_sum,supported_cells
C18,own_disease_2018_2024_age_sex_mention_distribution,2002,0.8424621248781196,0.8395662693675084,0.8453579803887307,2.1829391759519124e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2003,0.8465784288347165,0.843685289528104,0.849471568141329,2.178846066083464e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2004,0.848383911020209,0.8454319747992977,0.8513358472411204,2.2683068128719278e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2005,0.8451957633907468,0.8422124837749628,0.8481790430065307,2.316731899716676e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2006,0.8475289681768452,0.84455939321302,0.8504985431406704,2.295495487759688e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2007,0.8507348190221812,0.8477813109423027,0.8536883271020597,2.2707231304423477e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2008,0.8523014747033462,0.8493280691803298,0.8552748802263626,2.301421388042573e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2009,0.8529557313728955,0.8499381152765053,0.8559733474692857,2.370368311430888e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2010,0.8573027223563203,0.8543114077365815,0.8602940369760591,2.329228226328409e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2011,0.8571802714679639,0.8541777101949672,0.8601828327409606,2.3467758741408515e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2012,0.8594826770842954,0.8564772648913838,0.862488089277207,2.3512344984647217e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2013,0.8608820477490073,0.857879646965986,0.8638844485320287,2.3465250056975514e-06,1.0,14
C18,own_disease_2018_2024_age_sex_mention_distribution,2014,0.8660715405007257,0.8630907330209086,0.8690523479805428,2.312893906636111e-06,1.0,14
