scheme,year,std_UCF,CI_lo,CI_hi,variance,effective_weight_sum,supported_cells
sensitivity_1999,2019,0.5798695851814317,0.5568049745308223,0.6029341958320411,0.00013847778645986159,1.0,15
sensitivity_1999,2020,0.5589443902294516,0.5364032909482601,0.5814854895106432,0.00013226290004282964,1.0,15
sensitivity_1999,2021,0.5840077978271128,0.5615553511904241,0.6064602444638014,0.00013122458349993507,1.0,15
sensitivity_1999,2022,0.5640768450438025,0.5425639645444724,0.5855897255431326,0.0001204716855941424,1.0,15
sensitivity_1999,2023,0.5463973904687434,0.5245398308608763,0.5682549500766104,0.00012436300291843535,1.0,15
sensitivity_1999,2024,0.5713155376661703,0.5500465599413172,0.5925845153910233,0.00011775546997612787,1.0,15
sensitivity_full_period,1999,0.45720390797630234,0.43704239842943504,0.47736541752316963,0.0001058117626011091,1.0,15
sensitivity_full_period,2000,0.46432433922548716,0.4437873250034733,0.48486135344750103,0.00010978991908454828,1.0,15
sensitivity_full_period,2001,0.47636523630087974,0.4562177355048784,0.4965127370968811,0.00010566477205458001,1.0,15
sensitivity_full_period,2002,0.47405627600000677,0.45326532146403153,0.494847230535982,0.00011252181135906633,1.0,15
sensitivity_full_period,2003,0.4710918382588471,0.4501984795181695,0.4919851969995247,0.0001136329757045631,1.0,15
sensitivity_full_period,2004,0.5073547337958801,0.4859965208257516,0.5287129467660087,0.00011874564277315888,1.0,15
sensitivity_full_period,2005,0.49716424479665294,0.47564390534040746,0.5186845842528984,0.00012055524008539045,1.0,15
sensitivity_full_period,2006,0.5193672392525912,0.497201704102881,0.5415327744023014,0.0001278922710519156,1.0,15
sensitivity_full_period,2007,0.5446248911087854,0.5220307723634446,0.5672190098541262,0.00013288582931032946,1.0,15
sensitivity_full_period,2008,0.5551432214608681,0.5334268226113597,0.5768596203103766,0.0001227618645853115,1.0,15
sensitivity_full_period,2009,0.5426930111816809,0.5198777329262187,0.565508289437143,0.00013550003172484537,1.0,15
sensitivity_full_period,2010,0.558612615660956,0.535553187974524,0.581672043347388,0.00013841555737864055,1.0,15
sensitivity_full_period,2011,0.5529820122401874,0.5300844060403023,0.5758796184400725,0.00013647968806877828,1.0,15
sensitivity_full_period,2012,0.5877163572907065,0.5645770922377936,0.6108556223436193,0.00013937567346651263,1.0,15
sensitivity_full_period,2013,0.5598555669510046,0.5360472324629564,0.5836639014390528,0.00014755226756944613,1.0,15
sensitivity_full_period,2014,0.5904834317231378,0.5671220328329611,0.6138448306133144,0.00014206449346781215,1.0,15
sensitivity_full_period,2015,0.6102985093777823,0.5877205016499841,0.6328765171055805,0.00013269638508863802,1.0,15
sensitivity_full_period,2016,0.5936262067304067,0.5707438452201405,0.6165085682406728,0.0001362980186085244,1.0,15
sensitivity_full_period,2017,0.5828006276983962,0.5591958730069937,0.6064053823897988,0.00014503968243473767,1.0,15
sensitivity_full_period,2018,0.5991603343312668,0.5754466921053366,0.622873976557197,0.0001463808901549922,1.0,15
sensitivity_full_period,2019,0.583614866155115,0.5608478739985023,0.6063818583117278,0.00013492709596503075,1.0,15
sensitivity_full_period,2020,0.5539307785762325,0.531712462354543,0.5761490947979221,0.00012850207614717685,1.0,15
sensitivity_full_period,2021,0.5815073560118488,0.5599774275211601,0.6030372845025375,0.0001206626980461706,1.0,15
sensitivity_full_period,2022,0.5623359552778054,0.5415796830562674,0.5830922274993435,0.00011214671921454403,1.0,15
sensitivity_full_period,2023,0.5445154541390796,0.5230047968999486,0.5660261113782107,0.0001204467864586064,1.0,15
sensitivity_full_period,2024,0.5645173895117085,0.5433268936636797,0.5857078853597373,0.00011688804515965326,1.0,15
