disease,year,M_record_axis_mention,U_main_M_and_UCD,U_official_all_UCD,UCF,CI_lo,CI_hi,orphan_UCD
C18,2005,52623,43964,43989,0.8354521787051289,0.8322598450243489,0.8385955402000399,25
C18,2006,52530,44061,44061,0.8387778412335808,0.8356083786951658,0.8418977585230544,0
C18,2007,52145,43969,43969,0.8432064435708122,0.8400603249236953,0.8463019987391215,0
C18,2008,51299,43396,43396,0.8459424160315016,0.842792561231925,0.8490404638158046,0
C18,2009,49790,42199,42199,0.8475396665997188,0.8443554201268085,0.8506702896011841,0
C18,2010,49326,42009,42009,0.851660381948668,0.8484963072404441,0.8547696870149804,0
C18,2011,49060,41822,41822,0.8524663677130044,0.84930066065684,0.8555768819837289,0
C18,2012,48492,41488,41488,0.85556380433886,0.8524068404016448,0.858664438344625,0
C18,2013,48386,41502,41502,0.8577274418220147,0.8545864363924399,0.860811650403517,0
C18,2014,48069,41526,41526,0.8638831679460776,0.8607885915240268,0.8669195891951537,0
C18,2015,48613,42126,42126,0.8665583280192541,0.8635064956436457,0.8695522331959655,0
C18,2016,48083,41612,41612,0.865420210885344,0.862340608448428,0.8684414295045761,0
C18,2017,47959,41512,41512,0.8655726766613149,0.8624905070533679,0.8685962870871679,0
C18,2018,47894,41230,41230,0.8608593978368898,0.8577308818452264,0.8639300311985795,0
C18,2019,47286,40637,40637,0.8593875565706551,0.856225153306233,0.8624915721367198,0
C18,2020,48096,40246,40246,0.8367847638057219,0.833455100003241,0.8400606334682489,0
C18,2021,48252,40440,40440,0.8380999751305646,0.8347863677776685,0.8413597528498877,0
C18,2022,48055,40132,40132,0.8351264176464468,0.831782005546288,0.8384172548249454,0
C18,2023,47931,40598,40598,0.8470092424526924,0.8437587675026887,0.8502040993313844,0
C18,2024,48195,40801,40801,0.8465815956012035,0.8433364701284953,0.8497714758071286,0
E10_E14,1999,209664,68293,68399,0.3257259233821734,0.32372313394953306,0.32773509878878265,106
E10_E14,2000,213062,69299,69301,0.3252527433329266,0.3232667199525396,0.32724506790533875,2
E10_E14,2001,218125,71370,71372,0.3271977077363897,0.3252317726918069,0.3291697292103086,2
E10_E14,2002,224089,73246,73249,0.326861202468662,0.32492208380127924,0.32880625711826234,3
E10_E14,2003,227573,74216,74219,0.32611953087580686,0.3241964299428075,0.32804850195497387,3
E10_E14,2004,225450,73137,73138,0.3244045242847638,0.3224750735889205,0.3263399588466144,1
E10_E14,2005,233615,75116,75119,0.32153757250176573,0.3196465354863153,0.3234344785307084,3
E10_E14,2006,231037,72449,72449,0.3135818072429957,0.3116931115807292,0.31547670196345806,0
E10_E14,2007,231402,71382,71382,0.3084761583737392,0.3065975270739744,0.3103611484667491,0
E10_E14,2008,233829,70553,70553,0.30172904130796435,0.29987185477361056,0.3035927423226486,0
E10_E14,2009,230642,68705,68705,0.2978859010934695,0.2960228670119203,0.29975566768736855,0
E10_E14,2010,234051,69071,69071,0.29511089463407547,0.2932665082346061,0.2969620065774915,0
E10_E14,2011,239189,73831,73831,0.3086722215486498,0.30682404298401467,0.310526545596383,0
E10_E14,2012,241107,73932,73932,0.3066356430962187,0.30479823832572495,0.30847920935833134,0
E10_E14,2013,246804,75578,75578,0.3062268034553735,0.3044113769628787,0.3080482619422385,0
E10_E14,2014,245016,76488,76488,0.31217553139386817,0.3103436865610123,0.3140132657086319,0
E10_E14,2015,252806,79535,79535,0.3146088304866182,0.31280153181482545,0.316421763215529,0
E10_E14,2016,258852,80058,80058,0.30928097909229985,0.3075032889313141,0.3110643298500178,0
E10_E14,2017,270702,83564,83564,0.30869369269528857,0.3069562083178738,0.31043660654772093,0
E10_E14,2018,275929,84946,84946,0.30785455678815926,0.3061348937435118,0.3095795698216211,0
E10_E14,2019,282801,87647,87647,0.3099246466596653,0.3082227894481802,0.31163166762039113,0
E10_E14,2020,388066,102188,102188,0.2633263413955358,0.26194295461901496,0.26471441378282223,0
E10_E14,2021,399401,103294,103294,0.2586222868745947,0.25726662397506556,0.259982592895333,0
E10_E14,2022,369453,101209,101209,0.2739428289931331,0.27250710226978453,0.2753832566136697,0
