year,destination,ucd,raw_n,gap_denominator,raw_probability
2001,OTHER,E669,3,1251,0.002398081534772182
2001,OTHER,E780,2,1251,0.0015987210231814548
2001,OTHER,E785,6,1251,0.004796163069544364
2001,OTHER,E854,1,1251,0.0007993605115907274
2001,OTHER,E859,2,1251,0.0015987210231814548
2001,OTHER,E86,3,1251,0.002398081534772182
2001,OTHER,E870,1,1251,0.0007993605115907274
2001,OTHER,E871,1,1251,0.0007993605115907274
2001,OTHER,E872,1,1251,0.0007993605115907274
2001,OTHER,E878,2,1251,0.0015987210231814548
2001,OTHER,F03,14,1251,0.011191047162270184
2001,OTHER,F100,1,1251,0.0007993605115907274
2001,OTHER,F101,4,1251,0.0031974420463629096
2001,OTHER,F179,1,1251,0.0007993605115907274
2001,OTHER,F191,2,1251,0.0015987210231814548
2001,OTHER,F202,1,1251,0.0007993605115907274
2001,OTHER,F220,1,1251,0.0007993605115907274
2001,OTHER,F322,1,1251,0.0007993605115907274
2001,OTHER,F329,1,1251,0.0007993605115907274
2001,OTHER,G122,1,1251,0.0007993605115907274
2001,OTHER,G20,5,1251,0.003996802557953637
2001,OTHER,G309,19,1251,0.015187849720223821
2001,OTHER,G312,1,1251,0.0007993605115907274
2001,OTHER,G35,1,1251,0.0007993605115907274
2001,OTHER,G629,1,1251,0.0007993605115907274
2001,OTHER,G838,1,1251,0.0007993605115907274
2001,OTHER,G931,1,1251,0.0007993605115907274
2001,OTHER,G934,2,1251,0.0015987210231814548
2001,OTHER,H540,1,1251,0.0007993605115907274
2001,OTHER,K20,1,1251,0.0007993605115907274
2001,OTHER,K219,3,1251,0.002398081534772182
2001,OTHER,K223,1,1251,0.0007993605115907274
2001,OTHER,K229,1,1251,0.0007993605115907274
2001,OTHER,K297,1,1251,0.0007993605115907274
2001,OTHER,K519,1,1251,0.0007993605115907274
2001,OTHER,K529,1,1251,0.0007993605115907274
2001,OTHER,K550,3,1251,0.002398081534772182
2001,OTHER,K559,10,1251,0.007993605115907274
2001,OTHER,K563,11,1251,0.008792965627498001
2001,OTHER,K565,1,1251,0.0007993605115907274
2001,OTHER,K566,4,1251,0.0031974420463629096
2001,OTHER,K572,2,1251,0.0015987210231814548
2001,OTHER,K578,3,1251,0.002398081534772182
2001,OTHER,K579,3,1251,0.002398081534772182
2001,OTHER,K631,2,1251,0.0015987210231814548
2001,OTHER,K638,1,1251,0.0007993605115907274
2001,OTHER,K729,2,1251,0.0015987210231814548
2001,OTHER,K750,3,1251,0.002398081534772182
2001,OTHER,K759,3,1251,0.002398081534772182
2001,OTHER,K760,1,1251,0.0007993605115907274
2001,OTHER,K769,3,1251,0.002398081534772182
2001,OTHER,K85,34,1251,0.02717825739408473
2001,OTHER,K860,2,1251,0.0015987210231814548
2001,OTHER,K861,4,1251,0.0031974420463629096
2001,OTHER,K869,1,1251,0.0007993605115907274
2001,OTHER,M069,3,1251,0.002398081534772182
2001,OTHER,M349,1,1251,0.0007993605115907274
2001,OTHER,M462,1,1251,0.0007993605115907274
2001,OTHER,M480,1,1251,0.0007993605115907274
2001,OTHER,M809,3,1251,0.002398081534772182
2001,OTHER,M819,4,1251,0.0031974420463629096
2001,OTHER,N12,1,1251,0.0007993605115907274
2001,OTHER,N133,1,1251,0.0007993605115907274
2001,OTHER,N135,1,1251,0.0007993605115907274
2001,OTHER,N151,1,1251,0.0007993605115907274
2001,OTHER,N179,5,1251,0.003996802557953637
2001,OTHER,N180,1,1251,0.0007993605115907274
2001,OTHER,N189,2,1251,0.0015987210231814548
2001,OTHER,N19,4,1251,0.0031974420463629096
2001,OTHER,N200,1,1251,0.0007993605115907274
2001,OTHER,N209,1,1251,0.0007993605115907274
2001,OTHER,N210,1,1251,0.0007993605115907274
2001,OTHER,N288,1,1251,0.0007993605115907274
2001,OTHER,N390,9,1251,0.007194244604316547
2001,OTHER,N920,1,1251,0.0007993605115907274
2001,OTHER,Q273,1,1251,0.0007993605115907274
2001,OTHER,Q445,1,1251,0.0007993605115907274
