analysis,scenario,comparison,start_year,end_year,year,group,A_records,B_records,denominator_records,UCF,UCF_CI_lo,UCF_CI_hi,start_weight,end_weight,start_UCF,end_UCF,composition_component,selection_component,total_change,composition_total,selection_total,decomposition_residual,excluded_A_records,excluded_B_records,metric,metric_value,note
entity_status,raw_entity_axis_status,annual,,,2001,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2001,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2002,Part_I_only,1191,994,1191,0.834592779177162,0.8124223721120295,0.8546117302923489,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2002,Part_II_only,1058,68,1058,0.06427221172022685,0.051014138675970794,0.08068297830795758,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2002,Both,17,15,17,0.8823529411764706,0.6566364940511412,0.9671202262362074,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2002,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2002,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2003,Part_I_only,1182,985,1182,0.8333333333333334,0.8110146929682663,0.8534923489626651,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2003,Part_II_only,1017,54,1017,0.05309734513274336,0.040921712300837645,0.06863639572300442,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2003,Both,12,10,12,0.8333333333333334,0.5519691377470266,0.9530348578161463,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2003,entity_no_K80,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2003,entity_unknown,0,0,0,,,,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
entity_status,raw_entity_axis_status,annual,,,2004,Part_I_only,1210,1017,1210,0.8404958677685951,0.818792327621539,0.8600442650917764,,,,,,,,,,,,,,,Exhaustive entity-axis K80 status among A.
