"panel","year","destination","estimate","lo","hi","count","code","interval_type","bootstrap_reps","simultaneous_excludes_zero"
"A/B",2009,"INFECTIOUS_PARASITIC",0.0601735708914529,0.0435300649543975,0.0768170768285084,49,NA,"pointwise annual 95% CI",NA,NA
"A/B",2009,"NEOPLASMS",0.125308599168145,0.10212059053462,0.148496607801669,96,NA,"pointwise annual 95% CI",NA,NA
"A/B",2009,"OTHER",0.276134278881337,0.2454049711996,0.306863586563073,235,NA,"pointwise annual 95% CI",NA,NA
"A/B",2009,"OTHER_GALLBLADDER_BILIARY",0.0302429332697945,0.0184304496508418,0.0420554168887472,25,NA,"pointwise annual 95% CI",NA,NA
"A/B",2009,"RESPIRATORY",0.0882323535517565,0.0688403935252612,0.107624313578252,73,NA,"pointwise annual 95% CI",NA,NA
"A/B",2010,"CIRCULATORY",0.321380961942009,0.288515073011242,0.354246850872776,257,NA,"pointwise annual 95% CI",NA,NA
"A/B",2010,"DIABETES_NUTRITIONAL",0.029617788864824,0.0174773187925807,0.0417582589370672,23,NA,"pointwise annual 95% CI",NA,NA
"A/B",2010,"DIGESTIVE_OTHER",0.0549868036399332,0.0383113783966914,0.0716622288831749,40,NA,"pointwise annual 95% CI",NA,NA
"A/B",2010,"EXTERNAL",0.0324146493460931,0.0199113086724991,0.0449179900196871,25,NA,"pointwise annual 95% CI",NA,NA
"A/B",2010,"INFECTIOUS_PARASITIC",0.0625688893309663,0.0451652855843871,0.0799724930775454,48,NA,"pointwise annual 95% CI",NA,NA
"A/B",2010,"NEOPLASMS",0.112250880468582,0.0894543883876646,0.135047372549499,84,NA,"pointwise annual 95% CI",NA,NA
"A/B",2010,"OTHER",0.26689818563807,0.235821001036592,0.297975370239547,214,NA,"pointwise annual 95% CI",NA,NA
"A/B",2010,"OTHER_GALLBLADDER_BILIARY",0.0285904308251523,0.0167498508624264,0.0404310107878782,22,NA,"pointwise annual 95% CI",NA,NA
"A/B",2010,"RESPIRATORY",0.0912914099443707,0.0711567524899173,0.111426067398824,73,NA,"pointwise annual 95% CI",NA,NA
"A/B",2011,"CIRCULATORY",0.318655447849711,0.285895421225466,0.351415474473955,252,NA,"pointwise annual 95% CI",NA,NA
"A/B",2011,"DIABETES_NUTRITIONAL",0.0384244382204811,0.0247334171649449,0.0521154592760173,30,NA,"pointwise annual 95% CI",NA,NA
"A/B",2011,"DIGESTIVE_OTHER",0.037190339784587,0.0241028447679272,0.0502778348012468,31,NA,"pointwise annual 95% CI",NA,NA
"A/B",2011,"EXTERNAL",0.0327014806014952,0.0208556991746491,0.0445472620283413,26,NA,"pointwise annual 95% CI",NA,NA
"A/B",2011,"INFECTIOUS_PARASITIC",0.0720600484367106,0.0537678724633369,0.0903522244100842,56,NA,"pointwise annual 95% CI",NA,NA
"A/B",2011,"NEOPLASMS",0.112665774397249,0.090477373772231,0.134854175022267,89,NA,"pointwise annual 95% CI",NA,NA
"A/B",2011,"OTHER",0.273190908294376,0.242356502377334,0.304025314211419,228,NA,"pointwise annual 95% CI",NA,NA
"A/B",2011,"OTHER_GALLBLADDER_BILIARY",0.0361812367681125,0.0231034437783533,0.0492590297578717,29,NA,"pointwise annual 95% CI",NA,NA
"A/B",2011,"RESPIRATORY",0.0789303256472776,0.0597932846445256,0.0980673666500295,63,NA,"pointwise annual 95% CI",NA,NA
"A/B",2012,"CIRCULATORY",0.328367755026506,0.294188589347872,0.36254692070514,241,NA,"pointwise annual 95% CI",NA,NA
"A/B",2012,"DIABETES_NUTRITIONAL",0.0320537776438353,0.0188061720712943,0.0453013832163763,22,NA,"pointwise annual 95% CI",NA,NA
