"panel","year","group","code","estimate","count"
"A",2019,"INFECTIOUS_PARASITIC",NA,0.0554632047645313,42
"A",2019,"NEOPLASMS",NA,0.15171619402648,109
"A",2019,"OTHER",NA,0.279014451455656,210
"A",2019,"OTHER_GALLBLADDER_BILIARY",NA,0.034571308700109,27
"A",2019,"RESPIRATORY",NA,0.0740038391816294,56
"A",2020,"CIRCULATORY",NA,0.278948254545888,237
"A",2020,"DIABETES_NUTRITIONAL",NA,0.0319558992393599,28
"A",2020,"DIGESTIVE_OTHER",NA,0.0743417286825796,65
"A",2020,"EXTERNAL",NA,0.0337481548906621,30
"A",2020,"INFECTIOUS_PARASITIC",NA,0.102569399956464,87
"A",2020,"NEOPLASMS",NA,0.129418498620118,110
"A",2020,"OTHER",NA,0.269427147240724,230
"A",2020,"OTHER_GALLBLADDER_BILIARY",NA,0.0251043595789831,21
"A",2020,"RESPIRATORY",NA,0.0544865572452212,46
"A",2021,"CIRCULATORY",NA,0.235727720905114,201
"A",2021,"DIABETES_NUTRITIONAL",NA,0.034240739769589,29
"A",2021,"DIGESTIVE_OTHER",NA,0.0680981656829797,60
"A",2021,"EXTERNAL",NA,0.0282078553240207,25
"A",2021,"INFECTIOUS_PARASITIC",NA,0.136819106400531,116
"A",2021,"NEOPLASMS",NA,0.141668973676115,123
"A",2021,"OTHER",NA,0.263182061500982,228
"A",2021,"OTHER_GALLBLADDER_BILIARY",NA,0.0392281947897415,34
"A",2021,"RESPIRATORY",NA,0.0528271819509281,46
"A",2022,"CIRCULATORY",NA,0.249463368431314,238
"A",2022,"DIABETES_NUTRITIONAL",NA,0.0471961144513003,45
"A",2022,"DIGESTIVE_OTHER",NA,0.0521453434122548,55
"A",2022,"EXTERNAL",NA,0.028610586709646,30
"A",2022,"INFECTIOUS_PARASITIC",NA,0.105363548043019,103
"A",2022,"NEOPLASMS",NA,0.160215524689017,159
"A",2022,"OTHER",NA,0.269308438264909,260
"A",2022,"OTHER_GALLBLADDER_BILIARY",NA,0.0201999575849322,20
"A",2022,"RESPIRATORY",NA,0.0674971184136083,66
"A",2023,"CIRCULATORY",NA,0.218882708233208,208
"A",2023,"DIABETES_NUTRITIONAL",NA,0.0368984898534633,35
"A",2023,"DIGESTIVE_OTHER",NA,0.0553044657288686,53
"A",2023,"EXTERNAL",NA,0.033895564477534,34
"A",2023,"INFECTIOUS_PARASITIC",NA,0.0846236313574225,80
"A",2023,"NEOPLASMS",NA,0.191143965243445,177
"A",2023,"OTHER",NA,0.274020425196562,256
"A",2023,"OTHER_GALLBLADDER_BILIARY",NA,0.0295470044242732,28
"A",2023,"RESPIRATORY",NA,0.0756837454852231,69
"A",2024,"CIRCULATORY",NA,0.231155320109803,211
"A",2024,"DIABETES_NUTRITIONAL",NA,0.0505146922571344,46
"A",2024,"DIGESTIVE_OTHER",NA,0.0822640128023704,74
"A",2024,"EXTERNAL",NA,0.0273607799648465,27
"A",2024,"INFECTIOUS_PARASITIC",NA,0.055797542761775,50
"A",2024,"NEOPLASMS",NA,0.173725851282422,153
"A",2024,"OTHER",NA,0.29052724418942,264
"A",2024,"OTHER_GALLBLADDER_BILIARY",NA,0.022364732594527,20
"A",2024,"RESPIRATORY",NA,0.0662898240377021,59
"B",NA,"OTHER","K859",NA,580
"B",NA,"OTHER","F03",NA,533
"B",NA,"OTHER","G309",NA,531
"B",NA,"OTHER","K563",NA,277
"B",NA,"OTHER","K85",NA,253
"B",NA,"OTHER","N390",NA,168
"B",NA,"OTHER","E785",NA,123
"B",NA,"OTHER","K559",NA,119
"B",NA,"OTHER","G20",NA,117
"B",NA,"OTHER","E668",NA,102
"B",NA,"OTHER","K566",NA,100
"B",NA,"OTHER","N179",NA,94
"B",NA,"OTHER","N19",NA,86
"B",NA,"OTHER","N189",NA,83
"B",NA,"OTHER","E669",NA,82
"B",NA,"OTHER","F019",NA,68
"B",NA,"OTHER","K550",NA,59
"B",NA,"OTHER","K769",NA,59
"B",NA,"OTHER","K760",NA,53
"B",NA,"OTHER","G934",NA,45
